school_name,email,number,address,city_name,state_name,country_name
Knowledgeum Academy,enquiry@knowledgeumacademy.in,7353012391,"44/4, District Fund Road, Behind Big Bazaar, 9 th Block",Bangalore | Bengaluru,Karnataka,India
21K School - British Program,info@21kschool.com,9755595673,https://www.21kschool.com/,Online Schools,Online Schools,India
21K School - American Program,info@21kschool.com,9755595673,https://www.21kschool.com/,Online Schools,Online Schools,India
21K School - Indian Program,info@21kschool.com,9755595673,https://www.21kschool.com/,Online Schools,Online Schools,India
Maxfort International School,info@maxfortinternationl.in,1169030000,G & JU Block,Delhi,Delhi,India
Pragatti International School,pragatticbseschool24@gmail.com,9049999541,"19/3/1, City Hospital Back Side Near Sharad lawns",Pune,Maharashtra,India
Abhinav Global School (AGS),agsdwarka2014@gmail.com,7042626492,"Near Metro Station, Sector 13",Delhi,Delhi,India
Sadhu Vaswani International School For Girls (SVISG),svisg@rediffmail.com,9871174702,"2nd Street, Shanti Niketan",Delhi,Delhi,India
Radcliffe School,rahul.tripathi@radcliffe.in,9579428939,"15th Milestone, Bannerghatta Main Road, Bohra Layout",Bangalore | Bengaluru,Karnataka,India
Nikhara Shikshan Vikas Parishat,nsvpschool@gmail.com,9632896121,"Number 188, 5th Main, Mallathalli, ITI Employees Layout",Bangalore | Bengaluru,Karnataka,India
BS International School,info@bsinternationalschool.com,9019960147,"228/4, S.Bingipura, Beside Holistic Life Care Ayurveda And Nature Cure Hospital, Phase 1",Bangalore | Bengaluru,Karnataka,India
Empros International School,empros@asmedu.org,9011004836,"IBMR Campus MIDC C Block, Behind Double Hilton By Tree Hotel, Chinchwad",Pune,Maharashtra,India
Suryadatta National School,nandini.thatikonda@suryadatta.edu.in,8956938604,"S.No. 342, Patil Nagar",Pune,Maharashtra,India
Pragatti English Medium School,pragatienglishmediumschool@gmail.com,9921997203,"Sr. No.28, Munjabawasti, Dhanori",Pune,Maharashtra,India
Master Mind Global English School,mastermindschool@outlook.com,8208187093,"Survey No:203, Alandi Road",Pune,Maharashtra,India
Hind English Medium School,hemgurukool@gmail.com,9422094976,"Adjacent Joggers Park, Off Airport Road",Pune,Maharashtra,India
The Navyandhra School,navyandhraschool@gmail.com,9205429270,"Block R Uppal Southend Street, Sector 49",Gurgaon | Gurugram,Haryana,India
Brilliant International school,bisinternationalschool.info@gmail.com,9225602982,"Sr. No. 22, Opp. M.M.M.I.T. College, Vadgaon Shinde",Pune,Maharashtra,India
VSPK International School Juniors (VPSK),principal@vspkjuniors.com,9711119437,"NS 12, FC 57, Road 44, Harsh Vihar",Delhi,Delhi,India
Manav Rachna International School,admissions.mris14@mris.edu.in,9560064222,Sector 14,Faridabad,Haryana,India
Orchids The International School,marketing.newtown@orchids.edu.in,7208878901,"Acharya Mahapragya Mahashraman Education & Research Foundation, Major Arterial Road(South-East), Jodthbhim",Kolkata,West Bengal,India
Orchids The International School,marketing.seawoodsschools@orchids.edu.in,7208878901,"Plot no. 5, Sector 40, Nerul Node, Seawoods West,",Mumbai,Maharashtra,India
Orchids The International School,marketing.koparkhairane@orchids.edu.in,7208878901,"""Plot No. 23, Kopar Khairane Rd, Sector 1, Kopar Khairane, Navi Mumbai, """,Mumbai,Maharashtra,India
"Orchids The International School, Chinchwad",marketing.chinchwad@orchids.edu.in,7208878901,"Next to Luxury Living, Near Yashopuram Housing Society, Gawade Nagar Chinchwad, Pimpri-Chinchwad",Pune,Maharashtra,India
"Orchids The International School, Kharadi",marketing.kharadi@orchids.edu.in,7208878901,"Next to Dr. R.K.S. College Plot No. P-1, Survey No. 15, Behind IT Tower, Kharadi Knowledge Park, Mundhwa - Kharadi Rd, Rakshak Nagar, Kharadi",Pune,Maharashtra,India
"Orchids The International School, Manjri",marketing.manjri@orchids.edu.in,7208878901,"Near Kumar Meadows, Solapur-Pune Road, Manjri Bk, Hadapsar",Pune,Maharashtra,India
"Orchids The International School, Tathawade",marketing.tathawade@orchids.edu.in,7208878901,"Tathwade Survey No. 9/1, Aundh-Ravet BRTS Rd, Ram Nagar, Near Balaji Law College, Beside HP Petrol Pump, Tathawade",Pune,Maharashtra,India
K.R. Mangalam World School,principal.vaishali@krmangalam.com,9311411734,"New Delhi: Plot No 11, Sector 6, near Arogya Hospital, Vaishali Extension, Ramprastha Greens, Vaishali, Ghaziabad.",Ghaziabad,Uttar Pradesh,India
"Orchids The International School, Undri",marketing.undri@orchids.edu.in,7208878901,"Apex Group of Institutes ,Apex Hills, Survey No. 59, Katraj-Hadapsar Bypass Rd, near Bishop’s School, Atur Nagar",Pune,Maharashtra,India
"Orchids The International School, Nigdi",marketing.nigdi@orchids.edu.in,7208878901,"next to Ram Mandir, Sector No. 27, Pradhikaran, Nigdi",Pune,Maharashtra,India
Orchids The International School,marketing.bannerghatta@orchids.edu.in,9513679842,"Sy. No.93/2 situated at Hommadevanahalli Village Begur Hobli, Bengaluru South, Taluk",Bangalore | Bengaluru,Karnataka,India
Aster Public School,info@asterinstitutions.com,9582801550,"J-1, GB Nagar",Greater Noida,Uttar Pradesh,India
JBM SMART START - The Foundation School,info@jbmsmartstart.in,9918282818,Sector 3,Greater Noida West,Uttar Pradesh,India
Millennium World School,mwssuprit@gmail.com,9625222400,BPTP Parklands Block B,Faridabad,Haryana,India
SHEMFORD Futuristic School,admissions@gurugram.shemford.com,8800550099,"Redwood, PS 03, Malibu Town, Sector 47",Gurgaon | Gurugram,Haryana,India
Holy Child Public School,holychild29@rediffmail.com,7503211245,"HUDA market, Sector-29",Faridabad,Haryana,India
Sapphire International School,admissions@sapphireschool.in,8860444646,SS-1 Sector 70,Noida,Uttar Pradesh,India
SURAJ School,surajschoolgurugram@gmail.com,9582130707,"Opposite BSNL Telephone Exchange, Near Police Station",Gurgaon | Gurugram,Haryana,India
Basant Valley Global School,basantglobal2016@gmail.com,9540904411,Block C,Gurgaon | Gurugram,Haryana,India
Mount Olympus School (MOS),info@mountolympus.org,7290072715,"Plot No. 2, Malibu Towne - Tower 3, SH13, Malibu Town, Sector 47",Gurgaon | Gurugram,Haryana,India
Silverline Prestige School,adm@slps.me,9999774433,KI-14 Kavinagar,Ghaziabad,Uttar Pradesh,India
GEMS International School,ruchi.sharma@gemsedu.in,9958099119,"Block C2, Palam Vihar",Gurgaon | Gurugram,Haryana,India
Satya School,shivani.jhingan@gemsedu.in,9199909291,"Sector 49, South City-II",Gurgaon | Gurugram,Haryana,India
SRRJM Green Fields Public School,greenfieldsmaujpur@gmail.com,9582219551,Maujpur,Delhi,Delhi,India
Trinity International School,admission@trinityinternationalschool.in,8888866610,Kondhwa Saswad Road,Pune,Maharashtra,India
P.P. International School (PPIS),info@pppischool.in,9999091210,"LD Block, Pitampura",Delhi,Delhi,India
Chinmaya Vidyalaya,admin@chinmayavvdelhi.ac.in,,"Near Priya Cinema, Indian Air Lines, Air India Estate",Delhi,Delhi,India
Happy English School (HES),info@hes.edu.in,7838206059,"Sharad Vihar, Karkardooma",Delhi,Delhi,India
"Mount Abu Public School,Sector 5",info@mountabuschool.com,9999038864,"POCKET B8, Pocket 10, Sector 5",Delhi,Delhi,India
Richmondd Global School (RGS),rgs.richmond@gmail.com,9971100719,"N.S. Road, Opposite Inder Enclave, Mianwali Nagar",Delhi,Delhi,India
Ganga International School (GIS),gangainternationalschool@gmail.com,9910805761,Rohtak Rd,Boarding Schools,Boarding Schools,India
Global Talent International School,globaltalenthm@gmail.com,9881695516,plot no 1,Pune,Maharashtra,India
Lovely Public English School,lpsyojanavihar@gmail.com,1143600686,Yojna Vihar,Delhi,Delhi,India
Greenfields Public School (GFPS),greenfieldvivekvihar@gmail.com,8373997152,D- Block,Delhi,Delhi,India
Lovely Public International School (LPIS),lpskrishnangr@gmail.com,9213607229,"F-Block, 9/10, Mandir Marg",Delhi,Delhi,India
Delhi Public School,info@dpssahibabad.com,9811470544,"Indraprastha Yojana, Teela Shahbazpur",Ghaziabad,Uttar Pradesh,India
Learners International School,admission@learners.international,8929041881,"Plot No.48, Knowledge Park-3",Greater Noida,Uttar Pradesh,India
The Samarth School,infodg@siddharthschools.edu.in,9899160826,Dilshad Garden,Delhi,Delhi,India
Kala Niketan Sr. Sec. Bal Vidyalaya,kalaniketanbalvidyalya1980@gmail.com,9560273064,Durgapuri Extn,Delhi,Delhi,India
The Samarth School,infowr@siddharthschools.edu.in,7840818757,Main Wazirabad Road,Delhi,Delhi,India
"Orchids The International School, Ambegaon BK",mihir.patil@orchids.edu.in,7208878901,"Ambegaon Budruk Pune S.No.6/16 Ambegaon Budruk, Dehu-Katraj, Bypass Tal. Haveli, Behind Indian Oil Petrol Pump, Near Rajyog Society",Pune,Maharashtra,India
Delhi International School (DIS),info.dwarka@dis.ac.in,1128052300,"Service Lane, Sector 23",Delhi,Delhi,India
Gurugram Global Heights School,info@gghschool.com,7290050145,"Unit No 1, C Block Amstoria Project",Gurgaon | Gurugram,Haryana,India
BGS Vijnatham School,admissions@bgsvijnatham.com,9999096820,Plot Number 2,Greater Noida West,Uttar Pradesh,India
Happy Hours School | Feeder School of KIIT World School,info@happyhoursschool.in,9910664803,"Zone H - 4, Near Saraswati Vihar Telephone Exchange",Delhi,Delhi,India
"KIIT World School (Feeder School: Happy Hours School, Delhi)",info@kiitworld.in,,Telephone Exchange,Delhi,Delhi,India
S D Public School,sdpitampura1@gmail.com,9871614462,BU-Block,Delhi,Delhi,India
VSPK International School (VPSK),vspkschool@yahoo.co.in,9990667999,"Rajapur, Pocket 1/1, Sector 13",Delhi,Delhi,India
Crescent Public School (CPS),admission@crescentpublicschool.in,9818434248,"Parwa Road, Saraswati Vihar",Delhi,Delhi,India
Mount Abu Public School (MAPS),info@mountabupublicschool.net,8448830337,"H Block, Dattaram Society, Sector 18",Delhi,Delhi,India
Maxfort School,info@maxfortrohini.in,1169030000,"H.S- 2, Opposite Pocket 3, Sector 23",Delhi,Delhi,India
Bal Mandir Senior Secondary School (BMSSS),principalbalmandir@gmail.com,,"Defence Enclave, Vikas Marg",Delhi,Delhi,India
Kala Niketan international School (KIS),info@kalaniketanschool.com,,"DDA Residential Complex, IP Enclave",Delhi,Delhi,India
Vivekanand International School (VIS),info@vivekanandinternationalschool.com,,"PS-3, IP Extension",Delhi,Delhi,India
Bharat National Public School (BNPS),info@bnpsramvihar.edu.in,1143086628,Ram Vihar,Delhi,Delhi,India
Vidya Bharati School,admission@vidyabharatischool.org,7838078095,C Block Lane,Ghaziabad,Uttar Pradesh,India
Parevartan School,contact@iamparevartan.org,9958380268,"Khasra No 540-544,",Ghaziabad,Uttar Pradesh,India
Silverline Prestige School,adm@slps.me,9999774433,III- B/12,Ghaziabad,Uttar Pradesh,India
Uttam School For Girls,uttamschool@gmail.com,1202753444,B Block,Ghaziabad,Uttar Pradesh,India
Sarvottam International School,info@sarvottamnoida.com,9999600335,"Greater Noida,NCR",Greater Noida West,Uttar Pradesh,India
Delhi World Public School,nitin.rana@dwpsnoidaex.com,8178591758,"HS 57, Noida Extension, Chauganpur",Greater Noida West,Uttar Pradesh,India
Unicosmos School,admission@unicosmos.in,9650803800,"Golf Course Road, Sushant Lok 2",Gurgaon | Gurugram,Haryana,India
Billabong High International School,admission@billabonghighschoolnoida.com,9873155013,"A-73, opp. Jasmine Market",Noida,Uttar Pradesh,India
Mother's Mount Global School (MMME),enquiry@mothersmountschool.com,9971130024,"Sabzi Mandi & Park Hospital, Plot No.15, DDA Colony Meera Enclave, Keshopur Rd, near Keshopur, Chaukhandi,",Delhi,Delhi,India
Mothers' Mount Global School (MMGS),vp@mothersmountschool.com,9910033645,J block,Delhi,Delhi,India
RPM Lovely Public Sr. Sec. School,lpschoolnlp@gmail.com,8377891211,"251, New Layal Pur, Chandan Nagar",Delhi,Delhi,India
Plato Public School,info@platopublicschool.in,9810203231,"Near Meena Apartment, I P Extension",Delhi,Delhi,India
Arwachin Bharti Bhawan Sr. Sec. School,arwachinschool@gmail.com,8800536704,"Block C, Vivek Vihar Phase I",Delhi,Delhi,India
Sanfort World School,admission@sanfortworldschool.com,9910110958,"HS-19, Ansal Golf Link",Greater Noida,Uttar Pradesh,India
Guru Tegh Bahadur Public School (GTBPS),gtbmodeltown@yahoo.co.in,9350757472,"Northex , Model Town Behind M Block Delhi-09",Delhi,Delhi,India
Lovely Public School - Priyadarshini Vihar,lpspioneersun@gmail.com,8800575888,"Priyadarshini Vihar, Near Bank Enclave",Delhi,Delhi,India
Delhi Public School (GBN),admissions@dpsgbn.com,9999767863,"B-1, Sector-132, Expressway, Gautam Budh Nagar",Noida,Uttar Pradesh,India
Mamta Public school,info@mpmiddleschool.in,7011399188,"Shaheed Budh Ram Singh Marg, Lahore Apartment",Delhi,Delhi,India
Mayur Public School (MPS),mps_edu@yahoo.com,,Behind Mother Dairy Plant,Delhi,Delhi,India
Angels Public Sr. Sec. School,angelspublicschool1@gmail.com,9811075391,"Vishwas Nagar, Shahdara",Delhi,Delhi,India
The Baptist Convent Sr. Sec School,baptistconvent@gmail.com,8368039231,"CGHS Complex, Near Balco Market , I.P.Extension Patparganj",Delhi,Delhi,India
Greater Noida World School,gnws.school@gnws.edu.in,8860606690,"Plot No. HS-28, Block A, Sigma I, Greater Noida",Greater Noida,Uttar Pradesh,India
Angels Public School,angelspublicschool1@gmail.com,9811075391,Mayur Vihar Phase-III,Delhi,Delhi,India
"Lovely Convent School, Geeta Colony",lpsjupiter@yahoo.co.in,9910557974,"Geeta Colony Rd, Block 2",Delhi,Delhi,India
Ramagya School,admissions@ramagyaschool.com,1204325171,"E-7, Sec-50, Noida",Noida,Uttar Pradesh,India
